90001;3
90002;2
90003;8
90004;2
90005;0
90006;8
90007;6
90008;0
90009;8
90010;0
90011;3
90012;0
90013;2
90014;9
90015;8
90016;8
90017;8
90018;6
90019;6
90020;1
90021;2
90022;9
90023;2
90024;8
90025;0
90026;0
90027;3
90028;2
90029;2
90030;3
90031;7
90032;6
90033;3
90034;0
90035;0
90036;9
90037;8
90038;9
90039;0
90040;8
90041;6
90042;0
90043;6
90044;9
90045;0
90046;8
90047;0
90048;9
90049;8
90050;0
90051;8
90052;3
90053;9
90054;0
90055;8
90056;8
90057;0
90058;0
90059;0
90060;0
90061;0
90062;0
90063;8
90064;7
90065;6
90066;0
90067;0
90068;3
90069;0
90070;0
90071;6
90072;4
90073;9
90074;7
90075;2
90076;7
90077;8
90078;8
90079;2
90080;0
90081;8
90082;3
90083;7
90084;6
90085;8
90086;7
90087;2
90088;9
90089;8
90090;1
90091;0
90092;9
90093;9
90094;1
90095;7
90096;8
90097;4
90098;8
90099;6
90100;9
90101;4
90102;0
90103;4
90104;6
90105;0
90106;1
90107;2
90108;0
90109;0
90110;8
90111;2
90112;0
90113;8
90114;2
90115;7
90116;8
90117;1
90118;9
90119;3
90120;0
90121;0
90122;0
90123;2
90124;0
90125;4
90126;8
90127;8
90128;9
90129;1
90130;3
90131;3
90132;6
90133;9
90134;7
90135;8
90136;0
90137;2
90138;8
90139;2
90140;1
90141;0
90142;0
90143;6
90144;2
90145;0
90146;0
90147;4
90148;0
90149;8
90150;0
90151;2
90152;4
90153;2
90154;3
90155;7
90156;2
90157;0
90158;0
90159;0
90160;7
90161;0
90162;7
90163;0
90164;0
90165;9
90166;3
90167;8
90168;0
90169;8
90170;8
90171;3
90172;8
90173;2
90174;1
90175;7
90176;8
90177;3
90178;2
90179;2
90180;8
90181;8
90182;0
90183;8
90184;0
90185;9
90186;8
90187;8
90188;0
90189;8
90190;8
90191;6
90192;8
90193;9
90194;8
90195;0
90196;8
90197;0
90198;4
90199;3
90200;1
90201;8
90202;4
90203;3
90204;8
90205;2
90206;8
90207;8
90208;0
90209;6
90210;8
90211;6
90212;0
90213;4
90214;8
90215;2
90216;0
90217;3
90218;8
90219;8
90220;9
90221;6
90222;9
90223;6
90224;2
90225;8
90226;6
90227;0
90228;0
90229;8
90230;9
90231;9
90232;8
90233;0
90234;0
90235;3
90236;8
90237;8
90238;1
90239;8
90240;7
90241;8
90242;3
90243;0
90244;9
90245;8
90246;9
90247;8
90248;0
90249;1
90250;0
90251;0
90252;6
90253;1
90254;8
90255;3
90256;0
90257;1
90258;1
90259;8
90260;0
90261;8
90262;3
90263;0
90264;0
90265;8
90266;8
90267;6
90268;8
90269;2
90270;3
90271;0
90272;9
90273;3
90274;7
90275;0
90276;2
90277;8
90278;9
90279;0
90280;0
90281;4
90282;6
90283;0
90284;2
90285;8
90286;8
90287;8
90288;6
90289;8
90290;8
90291;7
90292;1
90293;0
90294;9
90295;0
90296;0
90297;0
90298;6
90299;3
90300;6
90301;0
90302;8
90303;7
90304;8
90305;2
90306;0
90307;0
90308;0
90309;8
90310;0
90311;8
90312;8
90313;4
90314;3
90315;0
90316;9
90317;0
90318;0
90319;0
90320;8
90321;9
90322;4
90323;8
90324;0
90325;6
90326;8
90327;0
90328;9
90329;9
90330;9
90331;9
90332;3
90333;0
90334;8
90335;8
90336;1
90337;8
90338;8
90339;8
90340;0
90341;8
90342;2
90343;7
90344;7
90345;9
90346;4
90347;7
90348;7
90349;0
90350;0
90351;0
90352;6
90353;0
90354;0
90355;3
90356;9
90357;3
90358;0
90359;8
90360;0
90361;9
90362;0
90363;0
90364;0
90365;8
90366;4
90367;6
90368;7
90369;3
90370;6
90371;0
90372;3
90373;8
90374;0
90375;8
90376;8
90377;3
90378;8
90379;9
90380;2
90381;6
90382;1
90383;0
90384;0
90385;0
90386;2
90387;0
90388;7
90389;8
90390;8
90391;0
90392;9
90393;6
90394;0
90395;3
90396;4
90397;0
90398;0
90399;2
90400;6
90401;0
90402;8
90403;8
90404;8
90405;3
90406;0
90407;1
90408;8
90409;0
90410;0
90411;2
90412;2
90413;7
90414;8
90415;1
90416;8
90417;8
90418;0
90419;0
90420;8
90421;0
90422;2
90423;3
90424;3
90425;0
90426;7
90427;8
90428;0
90429;0
90430;0
90431;3
90432;0
90433;3
90434;0
90435;0
90436;0
90437;0
90438;4
90439;2
90440;3
90441;7
90442;7
90443;6
90444;9
90445;0
90446;0
90447;7
90448;4
90449;6
90450;8
90451;8
90452;4
90453;8
90454;1
90455;4
90456;0
90457;8
90458;8
90459;8
90460;3
90461;8
90462;7
90463;8
90464;8
90465;8
90466;4
90467;0
90468;0
90469;7
90470;8
90471;3
90472;0
90473;6
90474;8
90475;6
90476;0
90477;7
90478;0
90479;0
90480;3
90481;0
90482;8
90483;0
90484;2
90485;7
90486;0
90487;0
90488;0
90489;3
90490;8
90491;2
90492;1
90493;8
90494;0
90495;3
90496;4
90497;0
90498;7
90499;8
90500;4
90501;8
90502;3
90503;0
90504;0
90505;0
90506;0
90507;0
90508;0
90509;8
90510;8
90511;6
90512;2
90513;8
90514;8
90515;6
90516;7
90517;1
90518;3
90519;6
90520;0
90521;0
90522;7
90523;3
90524;6
90525;3
90526;3
90527;6
90528;6
90529;8
90530;4
90531;2
90532;6
90533;8
90534;0
90535;0
90536;9
90537;0
90538;8
90539;0
90540;8
90541;3
90542;9
90543;7
90544;0
90545;7
90546;2
90547;3
90548;6
90549;8
90550;6
90551;8
90552;0
90553;9
90554;4
90555;8
90556;0
90557;8
90558;6
90559;0
